"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FLUT","mgi_symbol","chromosome_name"
"ENSMUSG00000080493",0.165956146859752,-0.88381121482799,6.86156649806654,-0.128806040876676,0.897511125424624,NA,0,0.255453580259116,"","2"
"ENSMUSG00000080496",0.11137423255592,-0.724830900947181,6.8617270732631,-0.105633886805481,0.915872837375854,NA,0,0.226338210342078,"","12"
"ENSMUSG00000080500",0.231462873075381,0,6.86146046065557,0,1,NA,0,0,"","2"
"ENSMUSG00000080503",0.803466305746427,0.850553197056069,2.03497013158947,0.417968393664687,0.675970225964031,NA,1.32395620750493,1.18992179154447,"Snord88c","7"
"ENSMUSG00000080504",0.104213078070808,1.03091963733129,6.85570899800156,0.150373890961796,0.880469639025253,NA,0.243060005025288,0,"Mir669d-2","2"
"ENSMUSG00000080526",0.0766360740777347,-1.56770369252592,6.83172360350685,-0.229474109830965,0.81850044113884,NA,0,0.766360740777348,"Mir466j","10"
"ENSMUSG00000080543",0.0772133868553115,-0.855931411661783,6.86167182130165,-0.124740942725444,0.900728642922826,NA,0,0.226338210342078,"","18"
"ENSMUSG00000080544",0.636833394841077,0.276147891388925,2.72785758965894,0.101232517575616,0.919365884009325,NA,0.243060005025288,0.481791790601194,"","19"
"ENSMUSG00000080550",0.144108690631625,1.49458708762948,6.8459543122044,0.218316836407315,0.82718225727704,NA,0.486120010050575,0,"","2"
"ENSMUSG00000080558",0.36746543337436,3.57058806455399,6.79716191973491,0.525305724171015,0.599370678785142,NA,1.96520717572985,0,"","2"
"ENSMUSG00000080574",0.0732577651535931,0,6.86166300263701,0,1,NA,0,0,"Mir466i","13"
"ENSMUSG00000080575",0.162657306999541,-1.25796315516671,6.80689890337758,-0.184807086607752,0.853380349298034,NA,0.330989051876233,0.708130000943272,"Mir1190","12"
"ENSMUSG00000080582",0.216354573635791,-0.764761483106933,6.85801579430407,-0.11151352024329,0.911209144864275,NA,0,0.226338210342078,"","X"
"ENSMUSG00000080594",0.0201735521623751,0,6.86172790272479,0,1,NA,0,0,"Mir669h","2"
"ENSMUSG00000080604",0.43804777206461,0.967007636667049,6.45468812012194,0.149814773180517,0.880910753592457,NA,0.243060005025288,0,"","2"
"ENSMUSG00000080611",0.358405642770715,1.99320889577578,6.83452196981439,0.29163837713582,0.770563129627318,NA,0.661978103752465,0,"Mir669j","2"
"ENSMUSG00000080622",0.148625047392737,-1.45516870460815,6.84369939557261,-0.212628962860283,0.831616378886621,NA,0,0.748741102499991,"","2"
"ENSMUSG00000080624",0.181652219376117,1.31519299381023,6.85940000960275,0.191735864939942,0.847949111005502,NA,0.330989051876233,0,"","2"
"ENSMUSG00000080626",0.949453012009577,-1.68947128904167,2.29966788037089,-0.734658818980935,0.462547306302937,NA,0.729180015075863,2.7050236348218,"Mir1192","19"
"ENSMUSG00000080627",0.119614320719148,1.83523875882921,6.84086825619189,0.26827570567056,0.788487105077918,NA,0.57404905690152,0,"","2"
"ENSMUSG00000080632",0.184603916614404,1.59328101394958,6.86033281571702,0.232245440089929,0.816347386342172,NA,0.243060005025288,0,"","17"
"ENSMUSG00000080640",0.115520192992404,0.947788070977447,6.86161147984252,0.138129078535236,0.890138404700332,NA,0.547634526228988,0,"","2"
"ENSMUSG00000080641",0.392475128692782,1.18484869018742,5.54387319688568,0.213722184492426,0.830763710313805,NA,0.547634526228988,0,"","2"
"ENSMUSG00000080649",0.494474318395333,0.703533449752389,6.83556264528974,0.102922537069744,0.918024450691261,NA,0.790694531254275,0.374370551249996,"","2"
"ENSMUSG00000080652",0.174049280340672,0,6.86152655624818,0,1,NA,0,0,"Mir669k","2"
"ENSMUSG00000080653",0.225883484047537,0,6.85915567639625,0,1,NA,0,0,"Mir669e","2"
"ENSMUSG00000080657",0.243081985529349,2.7083836328863,6.80670319638941,0.397899475670241,0.690704286555233,NA,1.75724715621044,0,"Mir669i","2"
"ENSMUSG00000080665",0.666544283242121,-1.19999101806882,3.07399483210928,-0.390368586678926,0.696264013124492,NA,0,0.374370551249996,"Mir1199","8"
"ENSMUSG00000080674",0.187028725147312,0,6.85960588341847,0,1,NA,0,0,"","2"
"ENSMUSG00000080678",0.0311036019235106,0,6.86172718924653,0,1,NA,0,0,"","19"
"ENSMUSG00000080679",0.12425167039151,-0.507443863201813,6.8610135977071,-0.0739604806163622,0.941041830997949,NA,0,0.255453580259116,"","10"
"ENSMUSG00000080681",0.13762340744487,0,6.8616433143826,0,1,NA,0,0,"","11"
"ENSMUSG00000080684",0.148579451765512,1.50799462511615,6.85945205945249,0.219841849180664,0.825994325892828,NA,0.330989051876233,0,"","2"
"ENSMUSG00000080685",0.063477275372376,1.14663266268476,6.86169050971139,0.167106438429703,0.867286300115661,NA,0.330989051876233,0,"","2"
"ENSMUSG00000080686",0.484122759037448,3.77106503007951,6.78104583992959,0.556118498399455,0.578129850074146,NA,2.4864271712863,0,"","2"
"ENSMUSG00000080708",0.355317600102355,-1.24514437472275,6.84655361793116,-0.181864401304287,0.855689142198807,NA,0,0.374370551249996,"Ccnd3-ps","4"
"ENSMUSG00000080709",0.107358875746465,-0.62085591515506,6.86172790272479,-0.090480987290172,0.927905001919242,NA,0,0.255453580259116,"Gm14324","2"
"ENSMUSG00000080711",0.0215246761650866,0,6.86172790272479,0,1,NA,0,0,"Gm11686","2"
"ENSMUSG00000080718",0.0456129248001054,0,6.86172790272479,0,1,NA,0,0,"Gm8019","X"
"ENSMUSG00000080726",0.109481304231721,0,6.86170495416163,0,1,NA,0,0,"Gm15366","8"
"ENSMUSG00000080731",0.0929077119642411,0,6.86160723307011,0,1,NA,0,0,"Rps2-ps9","17"
"ENSMUSG00000080740",0.147472280048566,-0.483781400256587,6.86160039835438,-0.0705056214542328,0.943791226413668,NA,0,0.255453580259116,"Gm15013","X"
"ENSMUSG00000080746",1.04325630919353,0.477313049991183,1.37851396129568,0.346251879482272,0.729153428985209,NA,1.69573264003203,1.05338518227623,"Rpsa-ps12","4"
"ENSMUSG00000080750",0.0265944301228551,0,6.86170621970509,0,1,NA,0,0,"Gm15553","16"
"ENSMUSG00000080753",0.0318310448442434,0,6.86172790272479,0,1,NA,0,0,"Gm15613","5"
"ENSMUSG00000080773",0.177166839408798,0,6.86134571705486,0,1,NA,0,0,"Gm12955","4"
"ENSMUSG00000080774",0.122243723393065,1.03610557940975,6.86115881784682,0.151010289503093,0.8799675991335,NA,0.243060005025288,0,"Gm9143","X"
"ENSMUSG00000080777",0.0243060005025288,1.23959558270971,6.86172790272479,0.180653561359882,0.856639511593764,NA,0.243060005025288,0,"Gm15365","X"
"ENSMUSG00000080778",0.146280413915672,2.47559844910679,6.82712407420967,0.362612195442394,0.716894598842949,NA,0.729180015075863,0,"Gm7199","X"
"ENSMUSG00000080779",0.128140833210448,0,6.86166518684672,0,1,NA,0,0,"Gm8731","18"
"ENSMUSG00000080782",0.0958936145930535,0,6.86106546505193,0,1,NA,0,0,"Gm13495","2"
"ENSMUSG00000080783",0.190857931576439,2.16943680442203,6.79727092843696,0.31916291512613,0.749602976916267,NA,1.0601690669521,0.226338210342078,"Gm8250","19"
"ENSMUSG00000080784",0.102365073483544,0,6.86160314798164,0,1,NA,0,0,"Gm13765","2"
"ENSMUSG00000080788",0.206618559294144,0,6.86108870607098,0,1,NA,0,0,"Gm7841","X"
"ENSMUSG00000080791",0.0622094150289961,0,6.86165628820954,0,1,NA,0,0,"Gm11442","11"
"ENSMUSG00000080793",0.373377790899399,0.849946041941519,6.7866464798689,0.125238001487583,0.900335133227621,NA,0.330989051876233,0,"Cbx3-ps3","4"
"ENSMUSG00000080795",0.0265944301228551,0,6.86170621970509,0,1,NA,0,0,"Gm6783","X"
"ENSMUSG00000080797",0.604915298306254,1.10743510780866,2.08860592170386,0.530226930940246,0.595954600988676,NA,1.45267263500674,0.629824131509111,"Gm15760","16"
"ENSMUSG00000080801",0.215336436544042,-0.634088494118684,6.86156920889006,-0.092411586156872,0.92637103439806,NA,0,0.255453580259116,"Gm13310","2"
"ENSMUSG00000080813",0.0268469471373773,0,6.86172790272479,0,1,NA,0,0,"Gm14828","X"
"ENSMUSG00000080816",0.721804077084298,0.212424161424246,2.20953180657742,0.0961398975076502,0.923409464419904,NA,0.87862357810522,0.452676420684156,"Gm12447","4"
"ENSMUSG00000080823",0.782942680002693,-0.429841826449507,2.54326899588934,-0.169011546613534,0.865787559172676,NA,0.661978103752465,1.36706950236942,"Gm11477","11"
"ENSMUSG00000080824",0.208528526751652,2.28328807924741,6.83420913849683,0.334096898847556,0.738306440118875,NA,0.661978103752465,0,"Gm9001","6"
"ENSMUSG00000080836",0.2336415194063,-0.771416547902483,6.86139165737301,-0.112428583940919,0.910483592292587,NA,0,0.226338210342078,"Gm6444","5"
"ENSMUSG00000080838",0.0215246761650866,0,6.86172790272479,0,1,NA,0,0,"Gm12573","4"
"ENSMUSG00000080839",0.0489557498789297,0,6.86171450175087,0,1,NA,0,0,"Gm11625","11"
"ENSMUSG00000080849",0.579342444199369,1.87069739803663,3.95837692234654,0.472592033233579,0.636504267380745,NA,0.661978103752465,0,"Gm15702","1"
"ENSMUSG00000080850",0.0892047129750163,-0.887517324408593,6.86171977839839,-0.129343277351928,0.89708602864367,NA,0,0.374370551249996,"Gm12439","4"
"ENSMUSG00000080851",0.158685103334758,-0.804600207940721,6.86168562846318,-0.117259847143555,0.906654142801616,NA,0,0.374370551249996,"Gm12094","11"
"ENSMUSG00000080867",0.172256948803511,0,6.86164222710287,0,1,NA,0,0,"Gm14079","2"
"ENSMUSG00000080870",0.819833940224762,0.864404124991138,2.0987553450175,0.411865121412677,0.680438286664594,NA,0.817109061926808,0.452676420684156,"Gm14111","2"
"ENSMUSG00000080873",0.176125352082703,1.22139822836181,6.86113333329826,0.178016978978409,0.858709641420391,NA,0.330989051876233,0,"Rpl30-ps3","2"
"ENSMUSG00000080874",0.181467816635347,0,6.86172790272479,0,1,NA,0,0,"Gm15010","X"
"ENSMUSG00000080877",0.588179472259783,0.766518473814636,2.67222597099348,0.286846427710475,0.774229911830967,NA,1.0601690669521,0.452676420684156,"Rpl22-ps1","X"
"ENSMUSG00000080902",0.572635568801628,-0.596091807972738,2.74000996523811,-0.217550963512987,0.827778994738353,NA,0,0.226338210342078,"Gm11226","4"
"ENSMUSG00000080904",0.148140309568496,0,6.86162706391401,0,1,NA,0,0,"Gm11966","11"
"ENSMUSG00000080912",0.0695909216460508,0,6.86046063208684,0,1,NA,0,0,"Gm12269","11"
"ENSMUSG00000080914",0.232539563614,0,6.86150951884027,0,1,NA,0,0,"Gm7129","X"
"ENSMUSG00000080916",0.39581817070879,2.26751997488007,5.47992363654615,0.413786783406571,0.679030264049243,NA,0.790694531254275,0,"Gm12463","4"
"ENSMUSG00000080927",0.120320686413022,0,6.86167673891859,0,1,NA,0,0,"Gm11430","11"
"ENSMUSG00000080929",0.0318310448442434,0,6.86172790272479,0,1,NA,0,0,"Gm12891","4"
"ENSMUSG00000080942",0.0647268380355514,-0.917226439624426,6.86172092752334,-0.133672944340435,0.893661200411513,NA,0,0.374370551249996,"Gm14556","X"
"ENSMUSG00000080944",0.0735160785588604,0,6.86171556883574,0,1,NA,0,0,"Gm12967","4"
"ENSMUSG00000080946",0.0298669975640584,0,6.86172540591329,0,1,NA,0,0,"Gm12985","4"
"ENSMUSG00000080955",0.0851021763931363,0,6.86004262751641,0,1,NA,0,0,"Gm14263","2"
"ENSMUSG00000080962",0.115468498848121,0,6.86172568770679,0,1,NA,0,0,"Gm11453","2"
"ENSMUSG00000080966",0.426086844454762,0.127811554046401,3.51714682645926,0.0363395559960373,0.971011609632258,NA,0.547634526228988,0.226338210342078,"Gm6263","13"
"ENSMUSG00000080968",0.174041733959075,-1.38517049366787,6.84225218596319,-0.202443648088495,0.839569908499472,NA,0,0.481791790601194,"Gm1862","X"
"ENSMUSG00000080969",0.200407811836435,0,6.86168628291358,0,1,NA,0,0,"Gm12372","4"
"ENSMUSG00000080971",1.00788243432295,-1.89555171984732,1.79004558613985,-1.05894047309431,0.289626890408744,NA,0.57404905690152,2.08669523495237,"Gm16128","10"
"ENSMUSG00000080972",0.559387092206056,1.94051164202121,4.30900047369792,0.450339157274655,0.652465908557279,NA,0.992967155628698,0.226338210342078,"Gm16061","5"
"ENSMUSG00000080977",0.225191605475014,1.48323235285213,6.85554563053621,0.216355113478562,0.828710951869952,NA,0.243060005025288,0,"Gm13772","2"
"ENSMUSG00000080989",0.968845711851704,2.90574305103684,1.84561815008911,1.57440099453754,0.115394774057626,NA,1.91237811438478,0.226338210342078,"Gm14048","2"
"ENSMUSG00000080996",0.0472133856118577,0,6.86172790272479,0,1,NA,0,0,"Gm4986","X"
"ENSMUSG00000081000",0.188989681069021,0.243335503639536,6.8615682153605,0.0354635406953761,0.971710118386914,NA,0.243060005025288,0.374370551249996,"Gm11200","11"
"ENSMUSG00000081003",0.0935741004717717,0.0422312478002952,6.86172790272479,0.0061546083434065,0.995089364026857,NA,0.243060005025288,0.374370551249996,"Gm14301","2"
"ENSMUSG00000081010",0.0540548852637582,0,6.86172566754399,0,1,NA,0,0,"Gm13880","2"
"ENSMUSG00000081021",0.12291439298998,-0.752736937209973,6.86170070417678,-0.109701219808637,0.912646332989366,NA,0,0.226338210342078,"Gm11964","11"
"ENSMUSG00000081026",0.0588734139576537,0,6.86172790272479,0,1,NA,0,0,"Gm11855","4"
