"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FLi2","mgi_symbol","chromosome_name"
"ENSMUSG00000082454",17.2311793182336,-0.0471606476425998,0.434873615871894,-0.108446789874906,0.913641287009928,0.953688143075411,19.4407555119182,23.7688260719689,"Gm12183","11"
"ENSMUSG00000033446",349.660207680751,-0.0306610791063535,0.283396775917681,-0.108191347650545,0.913843908243288,0.953772382654559,170.670935440725,192.29464112019,"Lpar6","14"
"ENSMUSG00000062960",3396.85089065955,-0.0432012466907,0.39911430339115,-0.10824279241218,0.913803100909191,0.953772382654559,2157.46421405108,2577.18003598321,"Kdr","5"
"ENSMUSG00000002635",624.193721458286,-0.025923958716729,0.239843940426166,-0.10808677788843,0.913926856420941,0.953795330547095,709.14735352705,618.115524471033,"Pdcd2l","7"
"ENSMUSG00000008200",2584.98540360332,0.0211096055014067,0.195623113871413,0.10790956694045,0.914067428118692,0.953814791272846,2172.86090619252,2312.27157341561,"Fnbp4","2"
"ENSMUSG00000053263",3.12235227914798,-0.0972750590910169,0.90143673843215,-0.107911132244516,0.9140661864373,0.953814791272846,4.7354817326923,5.87072832246535,"Gm12592","11"
"ENSMUSG00000073476",11.3631553147649,0.071519484575808,0.664582239056515,0.107615702576316,0.91430054047785,0.953994415226171,8.83539989230468,8.07068664816522,"Gm10516","1"
"ENSMUSG00000030666",4.10873134599165,0.157074268085708,1.46384497649074,0.107302529030267,0.91454897825232,0.954190004917031,1.42625810433421,0.866850787864861,"Calcb","7"
"ENSMUSG00000032607",5.9036608707775,-0.105743708139308,0.986203947484646,-0.10722296175047,0.914612099595074,0.954192232464128,1.45836003015173,1.77879727144875,"Amt","9"
"ENSMUSG00000024505",105.619489728728,-0.0281527285697288,0.263698220597458,-0.10676116246042,0.914978459188753,0.95451079960443,120.108838216101,124.70443179669,"Dtwd2","18"
"ENSMUSG00000022517",4969.66996707249,0.0143536897262176,0.135146203461893,0.106208604892589,0.915416843848113,0.95453843498556,4605.25073265607,4834.05304749673,"Mgrn1","16"
"ENSMUSG00000043079",24.4539579530823,-0.0552338827561995,0.519562722475367,-0.10630840198282,0.915337665550672,0.95453843498556,24.2838683704123,20.4556935920768,"Synpo","18"
"ENSMUSG00000047415",389.952221405168,-0.034991896129854,0.329704754787549,-0.106131002424887,0.915478413670887,0.95453843498556,122.191387029043,125.543070113562,"Gpr68","12"
"ENSMUSG00000052125",232.438706887299,0.0270735425677806,0.254626984672648,0.106326289817973,0.915323473558986,0.95453843498556,461.826817370576,444.701842469795,"F730043M19Rik","12"
"ENSMUSG00000064441",1.81495593935607,-0.135311604347941,1.2751700548657,-0.106112595595881,0.915493017729344,0.95453843498556,2.45132718578042,2.7570010248731,"Snord37","10"
"ENSMUSG00000065232",19.2246094630239,-0.0626731080791313,0.590344868221687,-0.106163551938587,0.915452588814512,0.95453843498556,5.45897435262318,5.42381065830814,"","12"
"ENSMUSG00000075040",578.055299801283,-0.0171268976230181,0.16068539021742,-0.106586526627244,0.915117007882605,0.95453843498556,601.96904418825,612.845730378142,"Zfp408","2"
"ENSMUSG00000090591",2.40083951681886,0.149684524272114,1.40848700169667,0.106273273442924,0.915365536187154,0.95453843498556,1.30322907197738,1.42298224288384,"Gm17569","11"
"ENSMUSG00000044950",408.495218768537,0.0139902027429199,0.132076682667385,0.105924849567521,0.915641977875944,0.954630131661692,408.34003096316,422.392095622702,"Pwwp2a","11"
"ENSMUSG00000021807",5187.14066966979,0.0213224016864109,0.202500053201711,0.105295783133309,0.91614110894839,0.954911736386177,4187.35881998843,3724.743594989,"2700060E02Rik","14"
"ENSMUSG00000055560",63.0594276561121,-0.0686011415774429,0.652103140921316,-0.105199833082418,0.916217243169455,0.954911736386177,5.52048886880159,4.78271622041421,"Zfp459","13"
"ENSMUSG00000064352",32.0376067985144,-0.0791426973935068,0.752066344061978,-0.105233664580774,0.916190398543836,0.954911736386177,21.9542641042813,23.82708238577,"mt-Ts1","MT"
"ENSMUSG00000071266",385.563615905972,0.0143633477731249,0.136390707273323,0.105310310799556,0.916129581636922,0.954911736386177,365.307359887204,364.183721394742,"Zfp946","17"
"ENSMUSG00000081660",2.90676513854278,-0.0987142527255635,0.937492537306381,-0.105296041085501,0.916140904270127,0.954911736386177,3.9183726707655,4.75787085466237,"Gm11787","4"
"ENSMUSG00000069833",112250.863788303,-0.0233451457857793,0.222903333302386,-0.104732152004698,0.916588348641823,0.955234883291146,63468.2575049827,73633.0852611407,"Ahnak","19"
"ENSMUSG00000032375",664.988786455999,0.0264229105265326,0.252648869745058,0.10458352951745,0.916706284566155,0.955294160671511,654.445227353819,639.281846913495,"Aph1b","9"
"ENSMUSG00000064672",4.21043449841952,0.087908354901218,0.842940283780621,0.104287761058168,0.91694099021192,0.955475107083297,3.74886886261282,4.73702596693016,"","13"
"ENSMUSG00000020228",989.57194655456,-0.0183444602889968,0.176574274977003,-0.103890899687318,0.917255929024572,0.955578383056334,803.062033024925,786.480525995047,"Helb","10"
"ENSMUSG00000040785",1846.34249915473,-0.0215913159239587,0.207518836723366,-0.104045089423574,0.917133566534176,0.955578383056334,1298.93416495865,1389.38872855658,"Ttc3","16"
"ENSMUSG00000052632",23.5455673934734,0.046538601734987,0.44811122838596,0.103855022563512,0.917284400813184,0.955578383056334,17.721606400902,15.6975060510252,"Asap2","12"
"ENSMUSG00000068262",5.12511226276423,0.0768976244205738,0.739480789393922,0.103988670866756,0.917178339164279,0.955578383056334,7.69934345919583,7.89216516861103,"Gm5879","6"
