"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FL8","baseMean_FLUT","mgi_symbol","chromosome_name"
"ENSMUSG00000026563",1066.50970072606,-0.130387913160732,0.146679256495678,-0.888932193111943,0.374039522537209,0.52499537738981,1159.04183327068,1246.80484967299,"Tada1","1"
"ENSMUSG00000017405",145.791923202411,0.21419986987035,0.241021096245249,0.888718345436419,0.374154469109572,0.525113366757743,278.133195320635,240.646706464754,"Nek8","11"
"ENSMUSG00000038502",1150.0154810008,-0.161247564683036,0.181621480770967,-0.887822101210462,0.374636452471638,0.525659646919892,1401.88176997657,1642.24934529242,"Ptov1","7"
"ENSMUSG00000053646",1.62958222402855,-1.14223789186072,1.28642486060198,-0.887916524969994,0.374585655059041,0.525659646919892,1.4226111681796,2.54795105359693,"Plxnb1","9"
"ENSMUSG00000084304",24.4212610382095,-0.402509377698352,0.453348245622694,-0.887859127248829,0.374616532963221,0.525659646919892,22.7113175038974,28.1310631340625,"Gm6142","16"
"ENSMUSG00000043833",16.7675655918788,-0.461681790207794,0.520110325392434,-0.887661266596556,0.374722986920954,0.525737680222542,35.2571811913243,49.3466478409551,"2900005J15Rik","5"
"ENSMUSG00000087081",5.34684612796897,-0.556187705860416,0.626619094792515,-0.887600953246693,0.374755440723685,0.525739831569704,7.09624437243046,10.5900879136302,"6430590A07Rik","3"
"ENSMUSG00000031529",2947.22774209603,0.172914947517785,0.194861932953745,0.887371611770018,0.374878862152967,0.525869589405734,2035.68969138871,1891.52515152795,"Tnks","8"
"ENSMUSG00000038002",1296.93866568263,0.141133055325892,0.159095868551819,0.887094407985352,0.375028074488201,0.526035501610533,1256.6386313827,1227.42980808187,"Cramp1l","17"
"ENSMUSG00000019846",9.50510120646606,-0.789218040776404,0.889904795902647,-0.886856711425951,0.375156050229494,0.526171601258112,11.4387491733874,24.7670999978146,"Lama4","10"
"ENSMUSG00000054892",6.09478081285887,0.834342806287649,0.941189030780583,0.886477401458536,0.375360326457826,0.526414684160543,3.09159493796506,1.5934077127115,"Txk","5"
"ENSMUSG00000005465",7.51405054124348,0.590864721228823,0.666602880266649,0.886381890507988,0.375411774416984,0.526443414466967,7.00835032804383,4.71586849166275,"Il27ra","8"
"ENSMUSG00000086113",8.81593305569674,-0.664794392103384,0.750278468175395,-0.886063535476501,0.375583291094893,0.526640499627781,4.04790639886993,6.92760460424368,"4930596I21Rik","1"
