"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLUT","baseMean_WTUT","mgi_symbol","chromosome_name"
"ENSMUSG00000030551",0.799234038302706,2.97084941122823,2.37421215050436,1.25129905118088,0.210825391521605,NA,2.36222394481157,0.215246761650867,"Nr2f2","7"
"ENSMUSG00000030553",0.792326851436946,2.82216098658053,7.15539893353321,0.394410013025926,0.693278352383476,NA,4.12419997038763,0,"Pgpep1l","7"
"ENSMUSG00000030554",0.275834108138559,3.18845851616654,7.15322032811769,0.445737495828757,0.655786876180724,NA,0.679014631026234,0.597339951281167,"Synm","7"
"ENSMUSG00000030606",0.0545795658211037,0,7.23924586367125,0,1,NA,0,0,"Hapln3","7"
"ENSMUSG00000030607",0.0371809825210304,0,7.23925710748647,0,1,NA,0,0,"Acan","7"
"ENSMUSG00000030617",0.0456129248001054,0,7.23925710748647,0,1,NA,0,0,"Ccdc83","7"
"ENSMUSG00000030636",0.0226338210342078,0.941135792515827,7.23925710748647,0.130004471251968,0.896562889167723,NA,0.226338210342078,0,"1700010L04Rik","7"
"ENSMUSG00000030638",0.19869662503939,0.619669388092521,7.21289818660325,0.0859112900336584,0.931536936546484,NA,0.481791790601194,0.298669975640584,"Sh3gl3","7"
"ENSMUSG00000030669",0.281617059809178,0,7.23890305646053,0,1,NA,0,0,"Calca","7"
"ENSMUSG00000030674",0.661358042824988,-1.90558606630846,3.0410113196153,-0.626629060542111,0.530902414518444,NA,0.856162341851189,2.02064406884752,"Qprt","7"
"ENSMUSG00000030701",0.162024118881849,0.909143919743228,7.23925410051508,0.12558530300498,0.90006019734125,NA,0.226338210342078,0,"Plekhb1","7"
"ENSMUSG00000030724",0.999928198878513,1.33103170414057,1.89308487036416,0.70310197127323,0.481992203768312,NA,2.14492597478645,0.238607116009725,"Cd19","7"
"ENSMUSG00000030739",0.0573545346834055,0,7.23925710748647,0,1,NA,0,0,"Myh14","7"
"ENSMUSG00000030757",0.0554123555899699,-0.542507200886582,7.2372437774342,-0.0749604708049389,0.940246163094386,NA,0.255453580259116,0.298669975640584,"Zkscan2","7"
"ENSMUSG00000030762",0.290387936208298,0.638976725682369,7.21486231702477,0.0885639527970739,0.929428456971876,NA,0.452676420684156,0.298669975640584,"Aqp8","7"
"ENSMUSG00000030775",0.220383690426358,-0.546439254060569,7.21671521925081,-0.0757185558054065,0.939643012975217,NA,0.374370551249996,0.47721423201945,"Trat1","16"
"ENSMUSG00000030781",0.358025015155938,-2.16966366945215,4.94789259060406,-0.438502580588005,0.661021999880563,NA,0.255453580259116,0.775884207660033,"Slc5a2","7"
"ENSMUSG00000030792",0.790905491344005,2.31503262147466,3.08162807773076,0.751236866708261,0.452510116626738,NA,0.73724537086031,0,"Dkkl1","7"
"ENSMUSG00000030800",0.120953769617556,-2.90270450779001,7.18301036037629,-0.404106963815927,0.686134064298443,NA,0,0.669100639311458,"Prss8","7"
"ENSMUSG00000030854",0.744883479106226,2.05708466625753,2.8354689139851,0.725483060707022,0.468155733126845,NA,1.67171358214566,0.597339951281167,"Ptpn5","7"
"ENSMUSG00000030858",0.252638192635345,0.124832329378697,6.34618192632038,0.0196704618348496,0.984306254260477,NA,0.600708761592074,0.430493523301733,"1700007K09Rik","7"
"ENSMUSG00000030866",0.0982133824630527,-0.244486458643401,7.23925135941889,-0.0337723400535475,0.973058692798487,NA,0.226338210342078,0.215246761650867,"Ern2","7"
"ENSMUSG00000030889",0.280619425972443,-1.61128943368265,7.19859428752267,-0.223833899970651,0.822886550768629,NA,0.374370551249996,0.537277091650308,"Vwa3a","7"
"ENSMUSG00000030897",0.0625293417794883,0,7.23918376300329,0,1,NA,0,0,"Cnga4","7"
"ENSMUSG00000030905",0.312298641075073,2.06524727685391,5.14587334950952,0.401340479366977,0.688169464674138,NA,0.629824131509111,0,"Crym","7"
"ENSMUSG00000030935",0.0800520246684431,1.33001752334737,7.23318479282669,0.183877166343985,0.85410981798811,NA,0.226338210342078,0,"Acsm3","7"
"ENSMUSG00000030954",0.0270398334494826,0,7.23917800056423,0,1,NA,0,0,"Gp2","7"
"ENSMUSG00000030981",0.0453853877660591,-2.07567152482552,7.20715370581157,-0.288001561996905,0.773345543003338,NA,0,0.453853877660591,"Mmp21","7"
"ENSMUSG00000030994",0.323237373611167,-3.37097023810753,7.15951939451485,-0.470837503518763,0.637756780450079,NA,0.374370551249996,1.12295451697205,"D7Ertd443e","7"
"ENSMUSG00000031022",0.117253147987872,0,7.23806079342388,0,1,NA,0,0,"BC051019","7"
"ENSMUSG00000031028",0.24027644977334,1.78275831679106,7.21102584886755,0.247226726703668,0.804732762251642,NA,0.452676420684156,0,"Tub","7"
"ENSMUSG00000031070",0.549564860683206,2.29539087656708,5.50240374831971,0.417161477339431,0.676560300206688,NA,1.58436747239455,0.238607116009725,"Mrgprf","7"
"ENSMUSG00000031075",0.428512247044267,3.20709987317869,6.91539735459682,0.463762197416879,0.642818129962295,NA,1.84886129297061,0,"Ano1","7"
"ENSMUSG00000031085",0.0272897829105519,0,7.23925533634142,0,1,NA,0,0,"Gm498","7"
"ENSMUSG00000031089",0.0718958536418291,0,7.23909453982096,0,1,NA,0,0,"Slc6a14","X"
"ENSMUSG00000031099",0.74168757892499,3.09900094405671,2.77337367757727,1.11741196980131,0.263818219539448,NA,2.01696876347862,0.238607116009725,"Smarca1","X"
"ENSMUSG00000031111",0.0265944301228551,0,7.23878297890343,0,1,NA,0,0,"Igsf1","X"
"ENSMUSG00000031139",0.494352733309722,0,6.61053474712311,0,1,NA,0,0,"Mcf2","X"
"ENSMUSG00000031147",0.311296146138977,2.58852110486047,6.11688541374293,0.423176327456582,0.672166616959828,NA,0.827046971934152,0,"Magix","X"
"ENSMUSG00000031160",0.0854678440805088,0,7.238709206635,0,1,NA,0,0,"Eras","X"
"ENSMUSG00000031162",0.592470135861043,-1.68367987156289,4.00259237884211,-0.420647348569116,0.674012613474904,NA,0.226338210342078,0.954428464038899,"Gata1","X"
"ENSMUSG00000031163",0.0511529476399061,0,7.23925710748647,0,1,NA,0,0,"Glod5","X"
"ENSMUSG00000031179",0.0201735521623751,0,7.23925710748647,0,1,NA,0,0,"3830417A13Rik","X"
"ENSMUSG00000031189",0.433076046750993,2.79886793857665,3.54350486475125,0.789858641487468,0.429610327376587,NA,1.56429234279446,0.238607116009725,"Aff2","X"
"ENSMUSG00000031283",0.0492282511570629,0.679063164700632,7.23913093133457,0.0938045148156263,0.925264445197781,NA,0.226338210342078,0,"Chrdl1","X"
