"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FL8","baseMean_WT8","mgi_symbol","chromosome_name"
"ENSMUSG00000030324",0.311884841000361,-0.894888432602304,6.75896972459403,-0.132400124437021,0.894667816256899,NA,0.265944301228551,0.588734139576537,"Rho","6"
"ENSMUSG00000030336",0.127980928226371,0.165537897149677,6.77379034818722,0.0244380012726519,0.980503236736507,NA,0.201735521623751,0,"Cd27","6"
"ENSMUSG00000030345",0.765947126842572,0,4.71260511640616,0,1,NA,0,0,"Dyrk4","6"
"ENSMUSG00000030351",0.676481704172494,1.71264237277913,3.25414897543878,0.526295011600751,0.598683248431617,NA,1.53918609499829,0,"Tspan11","6"
"ENSMUSG00000030353",0.556282771445907,-1.89324499706311,3.67213298008491,-0.515570924944917,0.606154121567729,NA,0,0.588734139576537,"Tead4","6"
"ENSMUSG00000030361",0.0542390817857252,0,6.77385660103871,0,1,NA,0,0,"Klrb1a","6"
"ENSMUSG00000030382",0.163178181638417,0.206758287385094,6.77388028255685,0.0305228729709779,0.975650051884848,NA,0.201735521623751,0,"Slc27a5","7"
"ENSMUSG00000030413",0.873139853066265,-0.57760639473327,2.39959092506247,-0.24071035971193,0.809779609136869,NA,0.318310448442434,0.588734139576537,"Pglyrp1","7"
"ENSMUSG00000030463",0.0540548852637582,-1.66088869209559,6.77333082237824,-0.245210035601424,0.806293806274247,NA,0,0.540548852637582,"4933421I07Rik","7"
"ENSMUSG00000030470",0.0741573590309691,0,6.7739034638786,0,1,NA,0,0,"Csrp3","7"
"ENSMUSG00000030472",1.02080869484209,0.370608257368202,2.71329836327742,0.136589570238247,0.891355220974261,NA,5.01468037658815,3.84776767212239,"Ceacam18","7"
"ENSMUSG00000030499",0.774981434556271,0.454422758969593,2.3962192581386,0.189641560314723,0.849590017706991,NA,1.15666686695105,0.540548852637582,"Kctd15","7"
"ENSMUSG00000030513",0.21318965083585,1.56216715865798,6.73013786073477,0.232115179656577,0.816448555159325,NA,0.733624124080854,0,"Pcsk6","7"
"ENSMUSG00000030518",0.121762812977151,0.339494045273563,6.77077309513751,0.0501411050855292,0.960009943795137,NA,0.265944301228551,0,"Fam189a1","7"
"ENSMUSG00000030519",0.432116676106115,-1.59562653510604,5.43156250439855,-0.293769340556033,0.768934164556508,NA,0,0.272897829105519,"Apba2","7"
"ENSMUSG00000030525",0.315400152292539,2.80605726593295,6.69056408382664,0.419405184790942,0.674920035538705,NA,2.05923206506447,0,"Chrna7","7"
"ENSMUSG00000030543",0.698746925484783,0,2.70669023253697,0,1,NA,0,0,"Mesp2","7"
"ENSMUSG00000030544",0.0576681530953046,-1.76052849678771,6.76886585231987,-0.260092094480544,0.794792735827987,NA,0,0.272897829105519,"Mesp1","7"
"ENSMUSG00000030546",0.0558698531517092,0,6.77384544393594,0,1,NA,0,0,"Plin1","7"
"ENSMUSG00000030549",0.423575193379844,-1.81850206280241,6.49444402687461,-0.280008889949205,0.77947068441599,NA,0,0.272897829105519,"Rhcg","7"
"ENSMUSG00000030551",0.799234038302706,2.86541632360035,2.23459691266269,1.28229673430721,0.199738573122074,NA,1.95449977063671,0,"Nr2f2","7"
"ENSMUSG00000030553",0.792326851436946,0.438121555926259,6.76024850924255,0.0648084985821547,0.948326474788056,NA,0.265944301228551,0,"Pgpep1l","7"
"ENSMUSG00000030554",0.275834108138559,37.8918714441107,6.76869886283015,5.59810270954604,2.16710356538225e-08,NA,0.265944301228551,0,"Synm","7"
"ENSMUSG00000030606",0.0545795658211037,-2.25151603941116,6.76015830498656,-0.333056703383759,0.739091480993962,NA,0,0.545795658211037,"Hapln3","7"
"ENSMUSG00000030607",0.0371809825210304,0,6.77390856123724,0,1,NA,0,0,"Acan","7"
"ENSMUSG00000030617",0.0456129248001054,0,6.77390856123724,0,1,NA,0,0,"Ccdc83","7"
"ENSMUSG00000030636",0.0226338210342078,0,6.77390856123724,0,1,NA,0,0,"1700010L04Rik","7"
"ENSMUSG00000030638",0.19869662503939,0,6.77350185410097,0,1,NA,0,0,"Sh3gl3","7"
