"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FL8","mgi_symbol","chromosome_name"
"ENSMUSG00000091329",0.168711915519039,1.47298400889611,6.80580557619084,0.216430515448332,0.828652182010979,NA,0.243060005025288,0,"1700112D23Rik","3"
"ENSMUSG00000091345",0.0255453580259116,0,6.80625493902526,0,1,NA,0,0,"Col6a5","9"
"ENSMUSG00000091350",0.0303783701847527,0,6.80625455141748,0,1,NA,0,0,"Vmn2r92","17"
"ENSMUSG00000091351",0.0243060005025288,1.28626219511663,6.80625493902526,0.188982370869117,0.85010663382859,NA,0.243060005025288,0,"Gm17135","5"
"ENSMUSG00000091353",0.225692768203737,-0.673418510168206,6.80412254951765,-0.0989721312729655,0.92116039746161,NA,0,0.318310448442434,"Gm13285","4"
"ENSMUSG00000091354",0.187792402192782,0,6.8058499106438,0,1,NA,0,0,"6030419C18Rik","9"
"ENSMUSG00000091359",1.70825604448338,1.39452198785011,1.43582437369666,0.971234374758371,0.331431579840717,NA,3.30353623321311,0.999568425309405,"Gm3129","X"
"ENSMUSG00000091365",0.0428793949688404,0,6.80625493902526,0,1,NA,0,0,"Gm17045","14"
"ENSMUSG00000091366",0.696331699559873,0,2.86472549854258,0,1,NA,0,0,"Gm17040","9"
"ENSMUSG00000091370",0.322352187182706,1.44082500094921,5.66814225372796,0.254197043132002,0.799343334838499,NA,0.243060005025288,0,"5730435O14Rik","10"
"ENSMUSG00000091373",0.0265944301228551,-0.702678203771044,6.79882267893687,-0.103352924021387,0.917682873176803,NA,0,0.265944301228551,"Gm8810","17"
"ENSMUSG00000091377",0.108604847884742,-0.61160798463001,6.8055940105728,-0.0898684205493082,0.928391776330435,NA,0,0.201735521623751,"Gm17398","5"
"ENSMUSG00000091378",0.340964519637943,-0.2613557774999,4.73007013274263,-0.0552541019827033,0.955936027580838,NA,0.243060005025288,0.531888602457103,"Gm4219","19"
"ENSMUSG00000091384",0.818370410925349,0.775284872224121,1.93790803671638,0.400062777766159,0.689110279006422,NA,0.905038108777753,0.467679822852302,"Gm17574","7"
"ENSMUSG00000091388",0.129255209188667,0,6.80603892567391,0,1,NA,0,0,"Gm17576","8"
"ENSMUSG00000091403",0.282369044414025,-2.04987984042281,6.76149989820899,-0.303169396033828,0.761760770563404,NA,0,0.669415344476053,"9530085L02Rik","9"
"ENSMUSG00000091408",0.162122917971065,0,6.80606754146813,0,1,NA,0,0,"Gm6728","6"
