"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FL8","baseMean_FL2","mgi_symbol","chromosome_name"
"ENSMUSG00000037613",225.882329310891,-0.870027485799999,0.902806653966387,-0.963691928917031,0.335200402015227,0.496500971340077,21.7382213560986,30.0605763244836,"Tnfrsf23","7"
"ENSMUSG00000030469",694.690130583337,0.356874074951297,0.37047541617428,0.96328679143292,0.335403620006136,0.496733767055628,845.192743163439,612.68334974819,"Zfp719","7"
"ENSMUSG00000054822",4.44283598435307,-0.816197747213434,0.847329531810777,-0.963258940673513,0.335417592931768,0.496733767055628,2.88985941634131,5.15725556605605,"1700041G16Rik","8"
"ENSMUSG00000028274",1383.01113382969,0.191638598323795,0.198962061630111,0.963191659523861,0.335451349913467,0.496739312196277,1047.23141306701,942.953027607858,"Rngtt","4"
"ENSMUSG00000021221",1.12586919311173,-1.78574502587455,1.854346717224,-0.96300492744305,0.335545050490955,0.496833613408105,0.721781491689936,3.54552060219283,"Dpf3","12"
"ENSMUSG00000065824",14.434082372826,0.397186436861515,0.412649917196615,0.962526394188679,0.335785251351782,0.497100330511927,14.6902027841493,11.5536249985754,"","2"
"ENSMUSG00000072919",15.561817337067,0.535591334436335,0.556433031852536,0.962544104639487,0.335776359578485,0.497100330511927,7.23239099887185,4.78463446865617,"4933437F05Rik","12"
"ENSMUSG00000090608",3.33072632260337,1.52302875883134,1.58245833672978,0.962444775625968,0.335826231022888,0.497116532480083,1.40303946855691,0.499799372123821,"Gm17200","9"
"ENSMUSG00000021686",6378.71725440732,0.0659019956496999,0.0684837941627617,0.962300591773204,0.335898631819093,0.497179239423879,5523.86461270772,5210.9725722469,"Ap3b1","13"
"ENSMUSG00000087017",5.17015224154985,1.00535863177778,1.04543017004358,0.961669808836563,0.336215492659327,0.497603739515739,2.20860143947434,1.1018215071527,"4930417H01Rik","2"
"ENSMUSG00000026723",281.318264745434,0.148239274363418,0.154170390972142,0.961528821641273,0.336286340968322,0.497664094185149,329.5841592492,312.641650452554,"Trdmt1","2"
"ENSMUSG00000017548",3395.07576043452,-0.13328324393931,0.138669902811272,-0.961154808918462,0.336474334850193,0.497808770546665,2932.03149248515,3252.9520721185,"Suz12","11"
"ENSMUSG00000034863",482.783459634081,0.187572238695864,0.195144874858803,0.961194798641686,0.336454231174928,0.497808770546665,583.387730835704,520.232850317681,"Ano8","8"
"ENSMUSG00000087174",300.60008457431,-0.264201397768651,0.274869041141098,-0.961190087729922,0.336456599409238,0.497808770546665,263.773522659336,286.306163886709,"5530601H04Rik","X"
"ENSMUSG00000086296",1.13615937788556,1.45694800735187,1.51600961290587,0.96104140432145,0.336531349929981,0.497848621084297,1.51961439537559,0.499799372123821,"D030055H07Rik","9"
"ENSMUSG00000042178",1197.1769861248,-0.19232458109606,0.200178681289734,-0.960764552233684,0.336670565662804,0.497969292061258,1072.4495667567,1172.60959103255,"Armc5","7"
"ENSMUSG00000069830",486.056703912639,-0.279703067364594,0.291127030319926,-0.960759524999181,0.336673093962025,0.497969292061258,379.01364114902,393.490253191481,"Nlrp1a","11"
"ENSMUSG00000083443",5.19103334713966,-0.625335022993103,0.650961281169962,-0.960633206738808,0.33673662601132,0.498018755885386,4.04790639886993,5.84545867894304,"Gm15519","6"
"ENSMUSG00000028578",406.251809219816,0.177035102853768,0.184366804494294,0.960233070911893,0.336937926104697,0.498118244810059,405.745602213868,371.543183916322,"5830433M19Rik","4"
"ENSMUSG00000034243",4781.87993870552,-0.134485781294658,0.140077570476461,-0.96008076694375,0.337014567420884,0.498118244810059,3769.20012843438,3945.46640187543,"Golgb1","16"
"ENSMUSG00000053746",192.589480856056,-0.269218768332979,0.280381951392932,-0.960185800104126,0.336961712183858,0.498118244810059,250.427193805525,275.836061017996,"Ptrh1","2"
"ENSMUSG00000054951",48.4177859305209,-0.214495310387646,0.22338349803354,-0.960211082178688,0.336948990425889,0.498118244810059,67.442232018012,77.5580550676495,"9130008F23Rik","17"
"ENSMUSG00000066755",210.275970232291,0.444972693577337,0.463455555941296,0.960119450232031,0.336995100430749,0.498118244810059,352.738144758737,246.544570746643,"Tnfsf18","1"
"ENSMUSG00000079360",6.07915213380341,0.782931374425245,0.815425423258849,0.960150802382711,0.336979323295056,0.498118244810059,4.54700055373585,2.78543698016089,"Gm3839","14"
"ENSMUSG00000090062",1.41500271556391,-1.90449459005218,1.98299103767734,-0.960415127383985,0.33684632765153,0.498118244810059,0.403471043247502,2.05030886994781,"1810009N23Rik","15"
"ENSMUSG00000040877",181.403496558039,-0.131309141491736,0.136798510655059,-0.959872595563816,0.337119340065732,0.498228609467625,168.630615170122,177.555429540899,"Wdr25","12"
"ENSMUSG00000049225",1158.86099927143,-0.154402943571052,0.160897196088285,-0.959637254873791,0.337237812237784,0.498359199138176,509.025487033974,560.290532126305,"Pdp1","4"
"ENSMUSG00000028402",5.37426735039223,-0.659778267434135,0.687601804239997,-0.959535392963933,0.337289098543012,0.498390489240728,9.27340469831762,16.6311682457527,"Mpdz","4"
"ENSMUSG00000025907",4213.4417782949,-0.110441097612296,0.115146614089302,-0.959134564969867,0.337490959522214,0.498541565490774,4759.27633202084,4989.90428352036,"Rb1cc1","1"
