"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_WT8","baseMean_WT2","mgi_symbol","chromosome_name"
"ENSMUSG00000046546",176.560913335792,-2.45355817296708,0.50152076574517,-4.89223645469901,9.96965660347944e-07,5.39751770089286e-06,97.2657770191282,600.958533239841,"Fam43a","16"
"ENSMUSG00000071657",2696.75261599098,-0.629561146268394,0.128687270834103,-4.89217886266304,9.97257514913321e-07,5.39751770089286e-06,1813.64294763425,2794.05393484832,"Bscl2","19"
"ENSMUSG00000014158",192.460735135824,-1.89692998370877,0.387774070705855,-4.89184328455959,9.98959733733292e-07,5.40496324060795e-06,60.971739321394,227.266872236985,"Trpv4","5"
"ENSMUSG00000078439",201.950101653214,-1.34380699465786,0.274723712988548,-4.89148526728698,1.00077885868074e-06,5.41303623857024e-06,80.81740253218,194.420694077845,"2210404O07Rik","10"
"ENSMUSG00000028893",1525.18630860492,1.30003132687554,0.265934632654253,4.88853713373141,1.01588037276677e-06,5.49292259054647e-06,2530.28368565373,1108.15363843474,"Sesn2","4"
"ENSMUSG00000022756",86.7318091205866,-2.86398208647353,0.586033888070113,-4.88705882846639,1.02353517411452e-06,5.53250511651518e-06,25.1858056060789,166.079301433575,"Slc7a4","16"
"ENSMUSG00000042015",1747.52920829429,-1.0143256667258,0.207559125847121,-4.88692396725983,1.02423625475116e-06,5.5344871865447e-06,970.951372248942,2043.48560721714,"Wdr41","13"
"ENSMUSG00000029919",10886.1223478514,-1.29864603384612,0.265750523663861,-4.88671110010204,1.02534379267443e-06,5.53866354848384e-06,6306.58161662487,15978.5043249043,"Hpgds","6"
"ENSMUSG00000060538",1999.62475981747,0.8068777988145,0.165125947203836,4.88643857902275,1.02676338982153e-06,5.54452230503625e-06,3486.18916088608,1958.29413826711,"Tmem219","7"
"ENSMUSG00000030966",7735.81367353234,0.98416478156913,0.201412415279766,4.88631636834356,1.02740061509838e-06,5.54615380968469e-06,13777.8689808039,6926.21923054477,"Trim21","7"
"ENSMUSG00000059248",4033.03219188986,-0.844118850564607,0.172759088983299,-4.88610385440393,1.02850960203359e-06,5.55033010213825e-06,2449.48984661298,4356.43349001934,"Sept9","11"
"ENSMUSG00000021579",316.338560888656,-5.20069358601817,1.06462173588422,-4.88501541037835,1.03420764655912e-06,5.57926035143418e-06,6.57674596317758,287.760051106426,"Lrrc14b","13"
"ENSMUSG00000020553",1039.20400645981,-0.776197173481678,0.158967953450704,-4.88272734619042,1.04628498085949e-06,5.64257501407799e-06,626.897427850549,1098.29186822763,"Pctp","11"
"ENSMUSG00000011427",562.700303839652,0.993792410051049,0.203608332291162,4.88090246046471,1.05601466435861e-06,5.69319176214965e-06,676.264177952384,331.917455104452,"Zfp790","7"
"ENSMUSG00000027465",5704.76978671212,0.70342547719099,0.144163499919353,4.87935904431076,1.0643115617044e-06,5.73605361698781e-06,7801.8201306762,4866.66666912608,"Tbc1d20","2"
"ENSMUSG00000025969",38044.0020037821,0.740461497339164,0.151835622929804,4.87673105330159,1.07858333505978e-06,5.81107837844221e-06,58483.8886094047,35496.3997866995,"Nrp2","1"
"ENSMUSG00000069830",486.056703912639,-1.45196252653267,0.297779554598654,-4.87596446468469,1.08278101112686e-06,5.83179580708126e-06,197.43601012195,548.886667683087,"Nlrp1a","11"
"ENSMUSG00000044447",634.623319974987,-2.45598481363677,0.503799863607531,-4.87492155327383,1.08851702318736e-06,5.8607824498289e-06,242.595027721948,1515.84293841053,"Dock5","14"
"ENSMUSG00000017715",6134.3224213635,0.766875808311648,0.157342514658765,4.87392622378511,1.09401859904122e-06,5.88848840088823e-06,8458.45437436093,5016.96713847676,"Pgs1","11"
