"Set_Image","Object_Nbr","CenterX_Cells_Location_","CenterY_Cells_Location_","TouchesImageBorder_Cells_TagImageBorder_","Cd40","Atf3","Tnf","Area","Eccentricity_Cells_AreaShape_","Extent_Cells_AreaShape_","EulerNumber_Cells_AreaShape_","Perimeter_Cells_AreaShape_","FormFactor_Cells_AreaShape_","MajorAxisLength_Cells_AreaShape_","MinorAxisLength_Cells_AreaShape_","Orientation_Cells_AreaShape_","Genotype","Timepoint","Sample","Replicate"
"Set #14, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position015_C1_MAX.tif",19,1692.95,1541.27,0,40,12,8,17888,0.859218,0.531716,1,762.056,0.386064,219.42,112.257,-84.9679,"Rad21KO","2h","Rad21KO_2h",1
"Set #14, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position015_C1_MAX.tif",20,1739.92,226.863,0,10,4,5,17215,0.659877,0.632904,1,728.767,0.406208,175.678,132.0,-65.025,"Rad21KO","2h","Rad21KO_2h",1
"Set #14, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position015_C1_MAX.tif",21,1820.57,551.66,0,3,1,3,15546,0.563761,0.57644,1,766.595,0.331562,160.78,132.794,43.7477,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",2,195.302,456.634,0,10,4,7,13203,0.684156,0.479568,1,664.377,0.374755,159.225,116.129,-3.50945,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",3,263.969,1021.8,0,56,8,49,26047,0.905725,0.42825,1,963.361,0.351956,301.66,127.863,-29.6037,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",4,609.033,488.857,0,32,4,2,14864,0.834778,0.421566,1,693.173,0.387624,199.28,109.721,30.6856,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",6,632.898,1532.76,0,17,22,46,10388,0.525768,0.699105,1,446.788,0.651024,125.509,106.761,-56.2149,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",7,787.347,814.115,0,18,5,3,16640,0.730776,0.620988,1,691.246,0.436357,179.2,122.325,-60.2119,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",8,961.253,1450.66,0,8,5,1,17489,0.772695,0.566207,1,720.854,0.42177,192.3,122.068,-17.4749,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",9,957.335,1732.41,0,10,1,0,14483,0.825207,0.512909,1,669.669,0.404624,189.759,107.182,-53.9039,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",10,1247.8,170.765,0,6,2,1,13236,0.8295,0.512884,1,671.671,0.367588,181.115,101.154,22.3116,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",11,1224.96,1198.51,0,32,12,10,14454,0.976275,0.300137,1,1048.55,0.164889,348.932,75.5556,-15.3549,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",12,1546.71,732.888,0,6,3,2,13523,0.754599,0.465155,1,634.388,0.420925,171.222,112.353,-41.1759,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",13,1600.01,962.817,0,57,9,9,11720,0.892902,0.57578,1,549.924,0.485237,186.521,83.9814,18.3415,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",14,1625.41,1087.07,0,5,5,1,9397,0.800943,0.622648,1,478.561,0.513466,145.471,87.0996,-14.7869,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",15,1669.28,1473.01,0,24,2,26,11195,0.670406,0.699688,1,491.522,0.57994,140.365,104.15,-49.1536,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",17,1823.74,1149.7,0,12,1,2,14260,0.502098,0.669767,1,560.809,0.567743,148.38,128.321,29.8177,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",18,1826.2,559.179,0,5,2,36,7229,0.939625,0.463279,1,477.363,0.396984,170.567,58.3689,-74.9944,"Rad21KO","2h","Rad21KO_2h",1
"Set #15, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position016_C1_MAX.tif",19,1977.1,1631.49,0,36,3,2,16288,0.894732,0.587378,1,684.729,0.435284,227.153,101.447,-87.8406,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",3,147.699,1568.87,0,23,6,8,14956,0.415784,0.656656,1,623.34,0.482151,147.768,134.389,-67.8416,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",4,238.795,966.837,0,19,8,10,15395,0.489137,0.581624,1,660.117,0.442622,155.237,135.398,-74.6935,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",5,378.878,538.945,0,54,27,22,17710,0.874159,0.592565,1,788.823,0.356754,224.95,109.244,78.5617,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",7,715.046,1596.22,0,28,18,16,9861,0.759681,0.623798,1,481.877,0.531444,142.172,92.454,89.2672,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",8,754.314,1071.03,0,18,18,20,13717,0.959968,0.448312,1,915.813,0.205073,284.95,79.8178,86.3963,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",9,788.496,1646.05,0,10,4,1,8843,0.888926,0.5231,1,549.371,0.366858,171.363,78.493,-78.2266,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",10,828.42,591.698,0,7,2,6,17040,0.552753,0.419922,1,943.031,0.240274,186.792,155.662,-82.7585,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",11,1057.33,1379.35,0,18,12,15,15175,0.69985,0.498554,1,751.89,0.336415,177.784,126.989,-42.4066,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",12,1024.02,154.326,0,9,3,3,15305,0.501735,0.648078,1,683.133,0.410925,151.872,131.373,-87.2549,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",13,1040.76,974.335,0,68,1,19,15701,0.909415,0.506157,1,872.048,0.258858,243.028,101.073,17.4037,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",15,1394.6,333.697,0,16,4,5,14765,0.82977,0.534964,1,691.825,0.386542,188.313,105.098,64.667,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",16,1392.56,1546.9,0,29,10,3,11712,0.883938,0.424163,1,645.296,0.352353,196.922,92.0815,-17.0812,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",17,1479.49,1926.72,0,3,5,7,7039,0.800018,0.554252,1,397.588,0.556766,125.906,75.5408,-75.586,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",18,1519.92,84.0085,0,13,3,3,18621,0.572351,0.669627,1,658.893,0.537361,171.293,140.462,-29.6394,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",19,1727.12,1068.94,0,25,7,12,10421,0.678319,0.670075,1,437.46,0.681176,135.709,99.7144,-13.5662,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",20,1708.95,419.713,0,16,2,9,10335,0.582708,0.609195,1,462.593,0.604292,129.359,105.128,-82.4393,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",21,1766.2,1412.94,0,22,18,115,12283,0.62966,0.599112,1,519.002,0.570827,150.105,116.612,25.5483,"Rad21KO","2h","Rad21KO_2h",1
"Set #16, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position017_C1_MAX.tif",22,1848.07,158.751,0,23,7,6,14204,0.807473,0.498736,1,668.578,0.398124,183.805,108.427,48.8277,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",1,109.455,492.492,0,8,1,4,11346,0.866278,0.518011,1,548.354,0.472442,173.942,86.895,-44.0523,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",2,185.34,222.603,0,26,4,13,14353,0.576096,0.582508,1,627.955,0.455946,153.345,125.342,-32.2447,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",3,260.275,1590.85,0,30,2,5,11351,0.788206,0.569601,1,560.534,0.452368,158.557,97.5777,10.6913,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",5,356.227,945.45,0,23,3,13,12229,0.932481,0.529211,1,647.033,0.365937,215.979,78.016,-73.9945,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",6,480.584,425.894,0,26,1,19,16398,0.731232,0.448376,1,733.482,0.381978,195.284,133.209,71.9772,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",7,660.913,563.114,0,6,0,1,10559,0.78098,0.603509,1,477.295,0.580017,149.107,93.1258,-75.3533,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",8,840.252,193.018,0,20,1,5,14159,0.893861,0.452191,1,684.191,0.378982,222.215,99.6289,62.2622,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",9,839.53,857.022,0,25,5,4,14158,0.788248,0.533057,1,616.004,0.467343,175.247,107.84,-49.4775,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",10,969.809,1236.96,0,29,3,7,17110,0.816531,0.559351,1,679.112,0.464835,199.587,115.222,44.9908,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",11,1030.97,1573.17,0,6,5,3,13037,0.616447,0.726943,1,515.851,0.613277,146.485,115.342,8.19152,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",12,1011.53,1913.25,0,11,3,2,15631,0.514922,0.592308,1,665.798,0.441782,155.092,132.951,88.4449,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",13,1102.63,336.116,0,17,10,1,11601,0.828037,0.513955,1,552.721,0.47547,170.415,95.5473,33.0323,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",14,1210.29,847.152,0,10,4,1,16358,0.749593,0.667537,1,617.641,0.537109,180.03,119.162,-36.2827,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",15,1285.07,1413.17,0,5,11,6,17033,0.878076,0.327892,1,1110.34,0.173302,285.795,136.759,-20.8189,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",16,1390.13,495.169,0,30,8,7,36966,0.796801,0.470018,1,1304.31,0.272636,311.534,188.242,-2.57547,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",17,1394.64,1308.49,0,20,5,3,14853,0.688994,0.673605,1,597.082,0.521798,164.326,119.098,-1.17868,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",18,1510.05,1840.62,0,7,6,3,18590,0.635894,0.636099,1,735.962,0.430129,178.076,137.435,-30.2891,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",19,1525.96,891.795,0,10,2,2,11379,0.827191,0.54445,1,538.248,0.491742,170.241,95.6621,0.409626,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",20,1882.02,1200.84,0,20,1,3,17792,0.558932,0.640738,1,670.314,0.496116,167.002,138.48,-78.5452,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",21,1849.1,1906.55,0,17,8,8,15416,0.765577,0.492147,1,832.533,0.278828,190.09,122.293,27.8496,"Rad21KO","2h","Rad21KO_2h",1
"Set #17, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position018_C1_MAX.tif",22,1882.84,1456.4,0,11,18,13,12424,0.814152,0.428709,1,636.018,0.38474,183.622,106.621,-30.6229,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",2,132.758,1590.27,0,20,4,3,14808,0.554253,0.689867,1,584.263,0.543255,153.02,127.366,-0.58444,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",3,148.725,705.241,0,45,5,8,22617,0.755815,0.521875,1,886.711,0.360663,230.124,150.681,81.337,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",4,321.245,1868.35,0,16,1,0,10534,0.816884,0.644873,1,505.92,0.515139,155.04,89.4275,-85.1703,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",5,380.94,1102.04,0,11,2,4,12909,0.945224,0.4839,1,792.637,0.257548,244.688,79.8716,8.53363,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",6,366.492,248.49,0,22,4,2,9977,0.66516,0.553386,1,569.02,0.38586,137.774,102.876,74.8934,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",7,438.898,282.984,0,28,5,1,5302,0.471139,0.633301,1,317.84,0.655396,88.5367,78.0946,38.7271,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",8,574.596,808.57,0,63,3,3,17897,0.937961,0.441858,1,909.924,0.271035,285.01,98.8244,83.8222,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",9,641.104,1804.58,0,17,5,4,15443,0.611278,0.700299,1,592.542,0.550857,161.169,127.551,34.6002,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",10,668.155,1037.11,0,19,4,1,10560,0.840416,0.444613,1,654.078,0.309234,175.973,95.3672,24.6291,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",12,753.224,292.752,0,7,10,13,13751,0.639054,0.461319,1,710.671,0.341182,157.179,120.896,-65.9437,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",13,789.915,1558.9,0,33,0,8,11187,0.902839,0.550271,1,558.32,0.449369,187.905,80.7951,81.6788,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",14,860.35,276.9,0,34,1,11,8743,0.942617,0.347055,1,577.059,0.328796,191.539,63.9503,-35.8923,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",15,915.614,1827.9,0,23,5,147,19402,0.541009,0.61621,1,652.682,0.570589,174.674,146.903,68.1115,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",16,902.417,450.086,0,22,9,7,14455,0.809221,0.566529,1,600.878,0.501431,184.187,108.211,56.7693,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",17,971.919,698.99,0,6,6,4,12778,0.454266,0.672703,1,513.065,0.607626,136.455,121.563,84.7795,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",18,1117.47,1682.67,0,18,3,3,14911,0.778064,0.639683,1,581.276,0.552661,175.537,110.27,79.7099,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",20,1209.1,949.61,0,9,3,21,17141,0.818151,0.520544,1,754.065,0.377813,212.799,122.36,-8.32636,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",21,1233.65,512.905,0,17,1,11,14370,0.554064,0.631232,1,623.514,0.463001,152.526,126.974,-49.7351,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",22,1260.11,842.504,0,7,7,66,8120,0.399713,0.67893,1,421.124,0.572645,107.129,98.1989,-39.2621,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",23,1337.65,135.815,0,50,2,2,15370,0.587565,0.68788,1,561.032,0.611451,156.975,127.021,-63.9217,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",24,1339.4,422.522,0,3,6,3,10951,0.803019,0.576429,1,528.903,0.490084,156.974,93.549,-63.2023,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",25,1387.81,1877.49,0,45,4,4,27912,0.597954,0.559504,1,896.727,0.435223,216.561,173.58,-80.3011,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",26,1649.07,1390.58,0,15,6,5,14197,0.669585,0.477114,1,659.728,0.408659,170.76,126.829,34.5634,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",27,1682.07,367.146,0,7,1,15,12712,0.616029,0.568922,1,558.626,0.510068,148.984,117.359,-45.8291,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",28,1719.45,884.038,0,22,8,0,15190,0.80591,0.316821,1,934.397,0.21816,215.875,127.806,49.2958,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",29,1779.54,1779.35,0,29,10,3,11111,0.704827,0.616114,1,483.565,0.594647,144.474,102.487,57.2651,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",30,1780.48,1420.13,0,18,13,9,18909,0.584058,0.670057,1,680.734,0.511268,174.786,141.876,59.8234,"Rad21KO","2h","Rad21KO_2h",1
"Set #18, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position019_C1_MAX.tif",31,1945.47,1041.76,0,15,7,7,11395,0.786426,0.493397,1,538.248,0.492433,164.276,101.471,-46.0418,"Rad21KO","2h","Rad21KO_2h",1
"Set #19, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position020_C1_MAX.tif",3,184.82,190.758,0,25,0,13,13423,0.80802,0.45514,1,654.228,0.392893,180.544,106.369,78.3875,"Rad21KO","2h","Rad21KO_2h",1
"Set #19, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position020_C1_MAX.tif",4,269.224,1816.62,0,15,4,3,9703,0.966501,0.244556,1,683.778,0.260026,253.442,65.0492,-52.3668,"Rad21KO","2h","Rad21KO_2h",1
"Set #19, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position020_C1_MAX.tif",5,357.331,484.219,0,20,0,1,10766,0.879788,0.456883,1,545.393,0.453163,177.143,84.2076,53.6216,"Rad21KO","2h","Rad21KO_2h",1
"Set #19, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position020_C1_MAX.tif",6,350.571,1274.43,0,17,2,6,8918,0.828048,0.292125,1,728.826,0.210397,180.789,101.361,-2.78906,"Rad21KO","2h","Rad21KO_2h",1
"Set #19, 13DEc_2hFL_cd40_tnf_atf3_IFrad21_FL0h_smFISH_Mark_and_Find_001_Position020_C1_MAX.tif",7,388.826,1454.6,0,13,3,1,8290,0.898387,0.569368,1,461.558,0.486891,161.385,70.881,-83.7238,"Rad21KO","2h","Rad21KO_2h",1
