"","Rep_Sample","Rep","Sample","Genotype","Timepoint","Gene","MeanCounts","CV","CV2","FANO","Overdispersion"
"40","3__WT_2h",3,"WT_2h","WT","2h","Stat1",8.96304347826087,0.953722634935561,0.90958686438843,8.15266661276847,-0.396002879331786
"41","3__WT_2h",3,"WT_2h","WT","2h","Il12b",16.1760869565217,2.6401099648836,6.97018062667767,112.750247919801,0.632086573341976
"42","3__WT_2h",3,"WT_2h","WT","2h","Actb",289.217391304348,0.652850717000499,0.426214058688066,123.268518191001,-0.313882594800131
"43","3__WT_8h",3,"WT_8h","WT","8h","Stat1",33.9572192513369,0.960843651240728,0.923220522129614,31.350001687289,-0.117909334426557
"44","3__WT_8h",3,"WT_8h","WT","8h","Il12b",12.9625668449198,2.51282575971639,6.31429329869428,81.8494489627536,0.539636483590057
"45","3__WT_8h",3,"WT_8h","WT","8h","Actb",315.996434937611,0.719199325103819,0.517247669229789,163.448419456402,-0.227950054481797
"46","3__Rad21KO_0h",3,"Rad21KO_0h","Rad21KO","0h","Stat1",18.9751243781095,1.03656575647637,1.07446856749943,20.3881747086708,-0.147566493432047
"47","3__Rad21KO_0h",3,"Rad21KO_0h","Rad21KO","0h","Il12b",0.42620232172471,2.98363942889319,8.90210424164606,3.79409749602494,-0.540599239989063
"48","3__Rad21KO_0h",3,"Rad21KO_0h","Rad21KO","0h","Actb",244.67495854063,0.471909042668957,0.222698144552731,54.4886592855148,-0.59976640404822
"49","3__Rad21KO_2h",3,"Rad21KO_2h","Rad21KO","2h","Stat1",5.39106145251397,1.02660133074759,1.05391029229273,5.68169515118708,-0.48389332715877
"50","3__Rad21KO_2h",3,"Rad21KO_2h","Rad21KO","2h","Il12b",4.16945996275605,4.5722223840171,20.905217528907,87.1634674994837,0.728293609610714
"51","3__Rad21KO_2h",3,"Rad21KO_2h","Rad21KO","2h","Actb",207.292364990689,0.608670776792741,0.370480114521479,76.7976991211787,-0.383324118511246
"52","3__Rad21KO_8h",3,"Rad21KO_8h","Rad21KO","8h","Stat1",30.0417867435158,0.738145521764373,0.544858811300798,16.3685322144241,-0.364222971511998
"53","3__Rad21KO_8h",3,"Rad21KO_8h","Rad21KO","8h","Il12b",6.50864553314121,3.44026839356328,11.8354466197504,77.0327267743699,0.62553855592267
"54","3__Rad21KO_8h",3,"Rad21KO_8h","Rad21KO","8h","Actb",215.710374639769,0.553971057561768,0.306883932616104,66.1980480755455,-0.463943028224215
"55","1__WT_0h",1,"WT_0h","WT","0h","Cd40",0.266244057052298,2.72358862132741,7.41793497822416,1.97498110355255,-0.819725960816858
"56","1__WT_0h",1,"WT_0h","WT","0h","Atf3",0.673534072900158,6.51123234168064,42.396146607348,28.5552492997193,0.329233025167203
"57","1__WT_0h",1,"WT_0h","WT","0h","Tnf",0.803486529318542,6.17521206549486,38.1332440538334,30.6395479164715,0.356326914717782
"58","1__WT_2h",1,"WT_2h","WT","2h","Cd40",10.4576470588235,1.05434691313111,1.11164741322909,11.625216301404,-0.267784693768176
"59","1__WT_2h",1,"WT_2h","WT","2h","Atf3",2.16588235294118,1.44757258731055,2.09546639553295,4.53853368726606,-0.508153269210619
"60","1__WT_2h",1,"WT_2h","WT","2h","Tnf",36.1294117647059,1.11743483046437,1.24866060033493,45.1133729838655,0.0214446444269979
"61","1__WT_8h",1,"WT_8h","WT","8h","Cd40",11.3567447045708,1.09843184190253,1.20655251130539,13.7025088435541,-0.211243998749329
"62","1__WT_8h",1,"WT_8h","WT","8h","Atf3",5.44816053511706,1.10887397370176,1.22960148955314,6.69906630930456,-0.413549487016745
"63","1__WT_8h",1,"WT_8h","WT","8h","Tnf",9.13154960981048,1.17709211236363,1.38554584098867,12.6521805836547,-0.208133678267651
"64","1__Rad21KO_0h",1,"Rad21KO_0h","Rad21KO","0h","Cd40",2.0228013029316,2.95363534960978,8.72396177846449,17.6468412522034,0.0851552008887996
"65","1__Rad21KO_0h",1,"Rad21KO_0h","Rad21KO","0h","Atf3",4.01302931596091,0.765036721771957,0.585281185659582,2.34875055613227,-0.837713999054178
"66","1__Rad21KO_0h",1,"Rad21KO_0h","Rad21KO","0h","Tnf",1.3957654723127,4.66875744278352,21.7972960595465,30.4239132296928,0.337644709576383
"67","1__Rad21KO_2h",1,"Rad21KO_2h","Rad21KO","2h","Cd40",20.1653543307087,0.770905140307567,0.59429473535263,11.9841639152605,-0.393130508318885
"68","1__Rad21KO_2h",1,"Rad21KO_2h","Rad21KO","2h","Atf3",5.73031496062992,0.871762194224423,0.759969323278981,4.35486358280534,-0.606434378720165
"69","1__Rad21KO_2h",1,"Rad21KO_2h","Rad21KO","2h","Tnf",10.9212598425197,2.19236099908351,4.80644675030245,52.4924538792874,0.379186088533451
"70","1__Rad21KO_8h",1,"Rad21KO_8h","Rad21KO","8h","Cd40",17.3027842227378,1.03644308362266,1.07421426558925,18.5868976464776,-0.166062265791729
"71","1__Rad21KO_8h",1,"Rad21KO_8h","Rad21KO","8h","Atf3",1.62529002320186,1.342307052871,1.80178822418723,2.92842842469409,-0.684839170193928
"72","1__Rad21KO_8h",1,"Rad21KO_8h","Rad21KO","8h","Tnf",10.4802784222738,1.34115584772198,1.79869900787886,18.850866400438,-0.0582347278471974
"73","2__WT_0h",2,"WT_0h","WT","0h","Cd40",0.881709741550696,3.16671303015836,10.0280714153748,8.841848255902,-0.185507131740414
"74","2__WT_0h",2,"WT_0h","WT","0h","Atf3",5.47912524850895,1.4721260901049,2.16715522516754,11.8741149116536,-0.165607844134707
"75","2__WT_0h",2,"WT_0h","WT","0h","Tnf",1.18588469184891,3.49278090108763,12.1995184230025,14.4672221457674,0.0202841147073021
"76","2__WT_2h",2,"WT_2h","WT","2h","Cd40",5.644,1.54111958446175,2.37504957361155,13.4047797934636,-0.116369468495696
"77","2__WT_2h",2,"WT_2h","WT","2h","Atf3",2.498,1.90677588157314,3.63579426254901,9.08221406784743,-0.215023085096482
"78","2__WT_2h",2,"WT_2h","WT","2h","Tnf",23.438,1.34419161933129,1.80685110948047,42.3489763040032,0.116849282932167
"79","2__WT_8h",2,"WT_8h","WT","8h","Cd40",35.984347826087,0.997445528883607,0.994897583089898,35.8007406812401,-0.0777437134517414
"80","2__WT_8h",2,"WT_8h","WT","8h","Atf3",12.6904347826087,1.17218155468643,1.3740095971471,17.4367791832737,-0.127722236294061
"81","2__WT_8h",2,"WT_8h","WT","8h","Tnf",33.04,1.05702514700872,1.1173021614088,36.9156634129468,-0.0387855205877011
"82","2__Rad21KO_0h",2,"Rad21KO_0h","Rad21KO","0h","Cd40",0.5248,1.73351964088325,3.005090345328,1.57707141322813,-0.92455788237979
"83","2__Rad21KO_0h",2,"Rad21KO_0h","Rad21KO","0h","Atf3",1.8464,1.61837543087674,2.61913903526547,4.83597831471416,-0.472601539253003
"84","2__Rad21KO_0h",2,"Rad21KO_0h","Rad21KO","0h","Tnf",0.4328,2.17508850676068,4.7310100122424,2.04758113329851,-0.808647905264072
"85","2__Rad21KO_2h",2,"Rad21KO_2h","Rad21KO","2h","Cd40",17.9112426035503,0.970566786323832,0.941999886714971,16.8723885034687,-0.216104762261347
"86","2__Rad21KO_2h",2,"Rad21KO_2h","Rad21KO","2h","Atf3",4.42455621301775,1.49841104612661,2.24523566315425,9.93417140309817,-0.220541000903759
"87","2__Rad21KO_2h",2,"Rad21KO_2h","Rad21KO","2h","Tnf",10,1.61017137344192,2.59265185185185,25.9265185185185,0.0883213041695829
